n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
100,2,0.01,0.6,0.7,1.0,5.0,0.5925925925925926,0.3254154419752402,-0.9366574581633493,0.5763218204938305
100,2,0.01,0.6,0.6,0.5,5.0,0.5925925925925926,0.32560921806212223,-0.9367162640099783,0.5763121316894865
50,3,0.01,0.7,0.7,1.0,2.0,0.5925925925925926,0.3250591723269034,-0.9376787160281648,0.5763396339762474
100,3,0.01,0.6,0.7,2.0,2.0,0.5925925925925926,0.32544256868027727,-0.9379456518170728,0.5763204641585787
50,3,0.03,0.7,0.7,2.0,5.0,0.5925925925925926,0.32583173282419725,-0.939498992921324,0.5763010059513827
50,2,0.03,0.7,0.7,2.0,5.0,0.5925925925925926,0.3254988355138767,-0.9415023902064704,0.5763176508168987
100,3,0.01,0.6,0.7,1.0,5.0,0.5925925925925926,0.3261078018689362,-0.9426075510221599,0.5762872024991458
100,2,0.01,0.6,0.7,0.5,5.0,0.5925925925925926,0.32557030975607903,-0.9426545615807613,0.5763140771047887
50,2,0.03,0.6,0.6,0.5,10.0,0.5925925925925926,0.3255861188531976,-0.9429464682743459,0.5763132866499326
50,2,0.01,0.7,0.6,0.5,2.0,0.5925925925925926,0.3247784072395359,-0.9432497217133695,0.5763536722306157
50,3,0.01,0.7,0.7,0.5,2.0,0.5925925925925926,0.3253371267290862,-0.9436912863085376,0.5763257362561383
100,2,0.01,0.6,0.6,1.0,5.0,0.5925925925925926,0.32582965857841795,-0.9445416640892704,0.5763011096636717
100,3,0.01,0.6,0.6,2.0,2.0,0.5925925925925926,0.3258850204065815,-0.9447492436658601,0.5762983415722635
100,3,0.01,0.6,0.7,0.5,5.0,0.5925925925925926,0.32633250753276255,-0.9451885790322607,0.5762759672159544
100,2,0.01,0.7,0.6,1.0,5.0,0.5925925925925926,0.32622630807296027,-0.9457213196004517,0.5762812771889445
50,3,0.03,0.7,0.6,2.0,5.0,0.5925925925925926,0.32664420687135953,-0.9458752097554685,0.5762603822490245
50,2,0.03,0.7,0.6,2.0,5.0,0.5925925925925926,0.32622411077629715,-0.9460495933737811,0.5762813870537777
50,3,0.03,0.7,0.6,1.0,10.0,0.5925925925925926,0.32668221083341975,-0.9464918567143263,0.5762584820509216
100,3,0.01,0.7,0.6,1.0,5.0,0.5925925925925926,0.32688981364260744,-0.9479245197827607,0.5762481019104622
50,3,0.01,0.7,0.6,0.5,2.0,0.5925925925925926,0.32543230599254375,-0.9480980418650236,0.5763209772929654
50,3,0.03,0.6,0.7,2.0,2.0,0.5925925925925926,0.3255175580360331,-0.9488044005490145,0.5763167146907909
50,2,0.03,0.6,0.7,1.0,5.0,0.5925925925925926,0.3250971373167749,-0.9496518493029215,0.5763377357267538
100,3,0.01,0.7,0.6,0.5,5.0,0.5925925925925926,0.32721047309901746,-0.9536748175818529,0.5762320689376417
100,2,0.01,0.7,0.6,0.5,5.0,0.5925925925925926,0.3263954056877261,-0.9546147028058952,0.5762728223082062
100,3,0.01,0.7,0.7,1.0,5.0,0.5925925925925926,0.32708804373603284,-0.957727846102445,0.5762381904057909
100,2,0.01,0.7,0.7,1.0,5.0,0.5925925925925926,0.3267868551009648,-0.9583035745894998,0.5762532498375443
100,2,0.01,0.6,0.6,2.0,2.0,0.5925925925925926,0.3264562459159024,-0.9594834224904099,0.5762697802967974
50,3,0.03,0.6,0.6,2.0,2.0,0.5925925925925926,0.3263959806320436,-0.9604689408193035,0.5762727935609904
50,2,0.03,0.6,0.6,2.0,2.0,0.5925925925925926,0.32636656160903493,-0.9609199669530266,0.5762742645121408
100,2,0.01,0.7,0.6,2.0,2.0,0.5925925925925926,0.3267873793774649,-0.9638941712319311,0.5762532236237193
100,3,0.01,0.7,0.7,2.0,2.0,0.5925925925925926,0.32687610547898155,-0.9647993061580382,0.5762487873186435
50,3,0.03,0.7,0.6,0.5,10.0,0.5925925925925926,0.32688410211818975,-0.9650636858751184,0.5762483874866831
100,2,0.01,0.6,0.7,1.0,2.0,0.5925925925925926,0.32665062208208473,-0.9658533104222882,0.5762600614884883
100,2,0.01,0.7,0.7,2.0,2.0,0.5925925925925926,0.32686835320786983,-0.966346542600073,0.5762491749321991
100,3,0.01,0.6,0.6,1.0,2.0,0.5925925925925926,0.3268553293756427,-0.9670948045313276,0.5762498261238104
100,2,0.01,0.7,0.7,0.5,5.0,0.5925925925925926,0.3271462826943208,-0.9709734021851261,0.5762352784578765
100,3,0.03,0.6,0.6,2.0,10.0,0.5925925925925926,0.3278018010024936,-0.9723586274552974,0.5762025025424679
50,2,0.03,0.7,0.6,1.0,10.0,0.5925925925925926,0.32741630485128326,-0.972780785793264,0.5762217773500284
100,3,0.01,0.7,0.6,2.0,2.0,0.5925925925925926,0.32751977751975136,-0.973360590867904,0.576216603716605
50,3,0.03,0.7,0.7,1.0,10.0,0.5925925925925926,0.32745781947004726,-0.9765346210973705,0.5762197016190902
50,3,0.03,0.6,0.6,1.0,5.0,0.5925925925925926,0.32861898156965635,-0.9788878702982358,0.5761616435141097
100,2,0.01,0.6,0.6,1.0,2.0,0.5925925925925926,0.3274074005515295,-0.9800254056550664,0.5762222225650161
100,3,0.01,0.7,0.7,0.5,5.0,0.5925925925925926,0.32799927616028024,-0.9805199952778446,0.5761926287845786
50,2,0.03,0.7,0.6,0.5,10.0,0.5925925925925926,0.3273445740348813,-0.9810080961040344,0.5762253638908484
100,2,0.01,0.6,0.7,0.5,2.0,0.5925925925925926,0.3272054716471147,-0.9827374205573748,0.5762323190102369
100,3,0.01,0.6,0.7,1.0,2.0,0.5925925925925926,0.32787075214916855,-0.986988013245838,0.5761990549851341
50,2,0.03,0.6,0.6,1.0,5.0,0.5925925925925926,0.3279076055082031,-0.9886514538154432,0.5761972123171824
100,3,0.01,0.7,0.6,1.0,2.0,0.5925925925925926,0.3285484170919409,-0.9930716672978074,0.5761651717379955
50,2,0.03,0.7,0.7,1.0,10.0,0.5925925925925926,0.3278160074092147,-0.9972792997562551,0.5762017922221319
100,2,0.01,0.7,0.6,1.0,2.0,0.5925925925925926,0.3284446448375775,-1.0047137886765645,0.5761703603507137
50,2,0.03,0.7,0.7,2.0,2.0,0.5925925925925926,0.32867787078450356,-1.014968664240489,0.5761586990533674
100,2,0.01,0.6,0.6,0.5,2.0,0.5925925925925926,0.3292786237409215,-1.0156972413151713,0.5761286614055465
100,3,0.01,0.6,0.7,0.5,2.0,0.5925925925925926,0.3294122428061225,-1.0192629869741756,0.5761219804522865
50,3,0.03,0.7,0.7,2.0,2.0,0.5925925925925926,0.32916750856036847,-1.020180503171811,0.5761342171645741
50,2,0.03,0.7,0.6,2.0,2.0,0.5925925925925926,0.32913751663331575,-1.0207015381296856,0.5761357167609268
50,2,0.03,0.7,0.7,0.5,10.0,0.5925925925925926,0.32829071307191776,-1.0243873616232118,0.5761780569389967
100,2,0.01,0.7,0.6,0.5,2.0,0.5925925925925926,0.32915020377272564,-1.025452123583175,0.5761350824039563
50,3,0.03,0.7,0.6,2.0,2.0,0.5925925925925926,0.3299430433038648,-1.0265788507151892,0.5760954404273994
50,3,0.03,0.7,0.7,0.5,10.0,0.5925925925925926,0.3287982766887201,-1.0278269388395378,0.5761526787581566
100,2,0.01,0.7,0.7,1.0,2.0,0.5925925925925926,0.3296208986788443,-1.0284277641118373,0.5761115476586504
100,2,0.01,0.7,0.7,0.5,2.0,0.5925925925925926,0.3299610578824206,-1.03341681409756,0.5760945396984716
100,3,0.01,0.7,0.7,1.0,2.0,0.5925925925925926,0.33038590825492237,-1.0344913671181006,0.5760732971798465
100,2,0.03,0.7,0.6,2.0,5.0,0.5925925925925926,0.3312558041129538,-1.0383384100956017,0.5760298023869449
50,2,0.03,0.7,0.7,1.0,5.0,0.5925925925925926,0.32964422040135827,-1.0555397935787876,0.5761103815725247
50,3,0.03,0.7,0.7,1.0,5.0,0.5925925925925926,0.3311158786959346,-1.0751658071245451,0.5760367986577958
100,3,0.03,0.7,0.6,2.0,5.0,0.5925925925925926,0.3329866946475148,-1.0776082551209676,0.5759432578602168
100,3,0.01,0.7,0.6,0.5,2.0,0.5925925925925926,0.33197397751159474,-1.0792320177773644,0.5759938937170128
100,3,0.01,0.7,0.7,0.5,2.0,0.5925925925925926,0.33290164963758295,-1.0935490107638006,0.5759475101107134
